Course Title,Level,Slug,Lesson #,Lesson Title,Duration (mins),Lesson Description
"E3 – Strategic Management",strategic,e3-strategic-management,1,"Analyzing the Business Environment",50,"Environmental analysis frameworks for macro and micro factors."
"E3 – Strategic Management",strategic,e3-strategic-management,2,"Stakeholder Management",45,"Stakeholder identification, analysis, and management strategies."
"E3 – Strategic Management",strategic,e3-strategic-management,3,"Corporate Responsibility and Ethics",45,"CSR and ethics in strategic management."
"E3 – Strategic Management",strategic,e3-strategic-management,4,"Strategic Capability Analysis",50,"Organizational resources, capabilities, and core competencies."
"E3 – Strategic Management",strategic,e3-strategic-management,5,"Business Level Strategy",55,"Competitive advantage using Porter generic strategies."
"E3 – Strategic Management",strategic,e3-strategic-management,6,"Corporate Level Strategy",50,"Diversification, vertical integration, portfolio management."
"E3 – Strategic Management",strategic,e3-strategic-management,7,"International Strategy",50,"International expansion strategies and entry modes."
"E3 – Strategic Management",strategic,e3-strategic-management,8,"Organizational Structure and Design",50,"Organizational structures aligned with strategy."
"E3 – Strategic Management",strategic,e3-strategic-management,9,"Strategic Change Management",55,"Leading strategic change and overcoming barriers."
"E3 – Strategic Management",strategic,e3-strategic-management,10,"Digital Business and Transformation",50,"Digital technologies for strategic advantage."
"E3 – Strategic Management",strategic,e3-strategic-management,11,"Mergers, Acquisitions and Alliances",55,"M&A opportunities, strategic alliances, integration challenges."
"E3 – Strategic Management",strategic,e3-strategic-management,12,"Strategic Risk Identification",45,"Risk identification tools and categorization."
"E3 – Strategic Management",strategic,e3-strategic-management,13,"Risk Assessment and Prioritization",45,"Risk matrices and risk appetite."
"E3 – Strategic Management",strategic,e3-strategic-management,14,"Risk Response and Governance",50,"Risk response strategies and governance frameworks."
"F1 – Financial Reporting",operational,f1-financial-reporting,1,"Financial Reporting Regulatory Framework",40,"Regulatory environment including IFRS and IASB."
"F1 – Financial Reporting",operational,f1-financial-reporting,2,"Conceptual Framework for Financial Reporting",45,"IASB Conceptual Framework including objectives and qualitative characteristics."
"F1 – Financial Reporting",operational,f1-financial-reporting,3,"Statement of Financial Position (IAS 1)",55,"Preparing statements of financial position per IAS 1."
"F1 – Financial Reporting",operational,f1-financial-reporting,4,"Statement of Profit or Loss (IAS 1)",50,"Comprehensive income statements and revenue recognition."
"F1 – Financial Reporting",operational,f1-financial-reporting,5,"Statement of Cash Flows (IAS 7)",55,"Cash flows using direct and indirect methods."
"F1 – Financial Reporting",operational,f1-financial-reporting,6,"Property, Plant and Equipment (IAS 16)",50,"Recognition, measurement, depreciation under IAS 16."
"F1 – Financial Reporting",operational,f1-financial-reporting,7,"Intangible Assets (IAS 38)",50,"Intangible asset recognition, measurement, and amortization."
"F1 – Financial Reporting",operational,f1-financial-reporting,8,"Inventories (IAS 2)",45,"Inventory valuation including cost formulas and NRV."
"F1 – Financial Reporting",operational,f1-financial-reporting,9,"Provisions and Contingencies (IAS 37)",50,"Provisions, contingent liabilities, and contingent assets."
"F1 – Financial Reporting",operational,f1-financial-reporting,10,"Revenue Recognition (IFRS 15)",55,"Five-step revenue recognition model."
"F1 – Financial Reporting",operational,f1-financial-reporting,11,"Leases (IFRS 16)",55,"Right-of-use assets and lease liabilities."
"F1 – Financial Reporting",operational,f1-financial-reporting,12,"Consolidated Financial Statements Introduction",50,"Principles of consolidation under IFRS 10."
"F1 – Financial Reporting",operational,f1-financial-reporting,13,"Consolidation Procedures",55,"Elimination of intra-group transactions and unrealized profits."
"F1 – Financial Reporting",operational,f1-financial-reporting,14,"Goodwill and Non-Controlling Interests",55,"Goodwill on acquisition and non-controlling interests."
"F1 – Financial Reporting",operational,f1-financial-reporting,15,"Associates and Joint Ventures (IAS 28)",50,"Equity method for associates and joint ventures."
"F1 – Financial Reporting",operational,f1-financial-reporting,16,"Financial Statement Analysis",50,"Ratio analysis, trend analysis, and comparative techniques."
"F2 – Advanced Financial Reporting",management,f2-advanced-financial-reporting,1,"Equity Finance and Capital Markets",50,"Equity financing options including IPOs, rights issues, share buybacks."
"F2 – Advanced Financial Reporting",management,f2-advanced-financial-reporting,2,"Debt Finance and Financial Instruments",55,"Debt financing including bonds, loans, and hybrid instruments."
"F2 – Advanced Financial Reporting",management,f2-advanced-financial-reporting,3,"Capital Structure Decisions",50,"Optimal capital structure, Modigliani-Miller, trade-off theory."
"F2 – Advanced Financial Reporting",management,f2-advanced-financial-reporting,4,"Complex Group Structures",60,"Sub-subsidiaries, mid-year acquisitions, ownership changes."
"F2 – Advanced Financial Reporting",management,f2-advanced-financial-reporting,5,"Foreign Currency Translation (IAS 21)",55,"Foreign currency transactions and translation."
"F2 – Advanced Financial Reporting",management,f2-advanced-financial-reporting,6,"Financial Instruments (IFRS 9)",60,"Classification, measurement, and hedge accounting."
"F2 – Advanced Financial Reporting",management,f2-advanced-financial-reporting,7,"Impairment of Assets (IAS 36)",50,"Impairment testing of tangible and intangible assets."
"F2 – Advanced Financial Reporting",management,f2-advanced-financial-reporting,8,"Share-Based Payment (IFRS 2)",50,"Equity and cash-settled share-based payments."
"F2 – Advanced Financial Reporting",management,f2-advanced-financial-reporting,9,"Employee Benefits (IAS 19)",55,"Defined benefit pension plans."
"F2 – Advanced Financial Reporting",management,f2-advanced-financial-reporting,10,"Advanced Ratio Analysis",50,"Advanced ratio analysis for comprehensive evaluation."
"F2 – Advanced Financial Reporting",management,f2-advanced-financial-reporting,11,"Cash Flow Analysis and Forecasting",50,"Cash flow forecasts for valuation and planning."
"F2 – Advanced Financial Reporting",management,f2-advanced-financial-reporting,12,"Earnings Quality and Manipulation",45,"Evaluating earnings quality and identifying manipulation."
"F2 – Advanced Financial Reporting",management,f2-advanced-financial-reporting,13,"Integrated Reporting Framework",45,"Integrated reports linking financial and non-financial performance."
"F2 – Advanced Financial Reporting",management,f2-advanced-financial-reporting,14,"Sustainability and ESG Reporting",50,"GRI, SASB, and ESG metrics."
"F2 – Advanced Financial Reporting",management,f2-advanced-financial-reporting,15,"Current and Emerging IFRS Issues",40,"Current IFRS developments and emerging issues."
"F3 – Financial Strategy",strategic,f3-financial-strategy,1,"Financial Strategy and Corporate Objectives",50,"Financial strategies aligned with corporate objectives."
"F3 – Financial Strategy",strategic,f3-financial-strategy,2,"Capital Investment Decisions",60,"NPV, IRR, and real options analysis."
"F3 – Financial Strategy",strategic,f3-financial-strategy,3,"Financing Decisions and WACC",55,"Cost of capital, WACC, and optimal capital structure."
"F3 – Financial Strategy",strategic,f3-financial-strategy,4,"Dividend Policy",45,"Dividend policy decisions and shareholder value impact."
"F3 – Financial Strategy",strategic,f3-financial-strategy,5,"Treasury Management",50,"Cash management, liquidity planning, working capital."
"F3 – Financial Strategy",strategic,f3-financial-strategy,6,"Foreign Exchange Risk Management",55,"FX exposures, hedging instruments and strategies."
"F3 – Financial Strategy",strategic,f3-financial-strategy,7,"Interest Rate Risk Management",55,"Swaps, options, and derivative instruments."
"F3 – Financial Strategy",strategic,f3-financial-strategy,8,"Financial Risk Assessment",50,"Credit risk, liquidity risk, and operational risk."
"F3 – Financial Strategy",strategic,f3-financial-strategy,9,"Valuation Methodologies",60,"DCF, multiples, and asset-based approaches."
"F3 – Financial Strategy",strategic,f3-financial-strategy,10,"Mergers and Acquisitions Valuation",55,"M&A valuation, synergy assessment, deal structuring."
"F3 – Financial Strategy",strategic,f3-financial-strategy,11,"Private Equity and Venture Capital",50,"PE and VC valuations and investment structures."
"F3 – Financial Strategy",strategic,f3-financial-strategy,12,"Corporate Restructuring",50,"Spin-offs, carve-outs, and reorganizations."
"F3 – Financial Strategy",strategic,f3-financial-strategy,13,"Business Exit Strategies",50,"Trade sales, IPOs, and management buyouts."
"F3 – Financial Strategy",strategic,f3-financial-strategy,14,"Financial Distress and Turnaround",55,"Restructuring, turnaround strategies, insolvency."
"P1 – Management Accounting",operational,p1-management-accounting,1,"Strategic Management Accounting",50,"Management accounting in strategic contexts."
"P1 – Management Accounting",operational,p1-management-accounting,2,"Competitor and Environmental Analysis",45,"Competitor analysis and environmental scanning."
"P1 – Management Accounting",operational,p1-management-accounting,3,"Value Chain and Activity-Based Analysis",50,"Value chain analysis and activity-based management."
"P1 – Management Accounting",operational,p1-management-accounting,4,"Risk Management Framework",50,"Risk management frameworks: identify, assess, respond."
"P1 – Management Accounting",operational,p1-management-accounting,5,"Internal Control Systems",50,"Internal control systems including COSO framework."
"P1 – Management Accounting",operational,p1-management-accounting,6,"Corporate Governance and Ethics",45,"Governance and ethics in management accounting."
"P1 – Management Accounting",operational,p1-management-accounting,7,"Advanced Investment Appraisal",55,"Inflation, taxation, and capital rationing."
"P1 – Management Accounting",operational,p1-management-accounting,8,"Strategic Investment Decisions",50,"Uncertainty, real options, and qualitative factors."
"P1 – Management Accounting",operational,p1-management-accounting,9,"Post-Investment Review",40,"Post-investment appraisals and lessons learned."
"P1 – Management Accounting",operational,p1-management-accounting,10,"Divisional Performance Measurement",55,"ROI, RI, and EVA for divisions."
"P1 – Management Accounting",operational,p1-management-accounting,11,"Transfer Pricing",50,"Market-based, cost-based, and negotiated transfer pricing."
"P1 – Management Accounting",operational,p1-management-accounting,12,"Non-Financial Performance Measures",50,"Non-financial performance measurement and balanced scorecard."
"P1 – Management Accounting",operational,p1-management-accounting,13,"Responsibility Center Performance",45,"Cost, revenue, profit, and investment center evaluation."
"P1 – Management Accounting",operational,p1-management-accounting,14,"Behavioral Aspects of Performance Management",45,"Behavioral implications of performance measurement and rewards."
"P2 – Advanced Management Accounting",management,p2-advanced-management-accounting,1,"Advanced Costing Techniques",55,"Activity-based costing, target costing, and lifecycle costing."
"P2 – Advanced Management Accounting",management,p2-advanced-management-accounting,2,"Environmental and Quality Costing",50,"Environmental management accounting and quality cost classification."
"P2 – Advanced Management Accounting",management,p2-advanced-management-accounting,3,"Advanced Pricing Strategies",50,"Pricing models including demand-based, competition-based, and value pricing."
"P2 – Advanced Management Accounting",management,p2-advanced-management-accounting,4,"Advanced Budgeting Methods",55,"Zero-based, rolling, and activity-based budgeting."
"P2 – Advanced Management Accounting",management,p2-advanced-management-accounting,5,"Budgeting and Behavioral Aspects",45,"Behavioral aspects of budgeting and participative approaches."
"P2 – Advanced Management Accounting",management,p2-advanced-management-accounting,6,"Advanced Variance Analysis",55,"Planning and operational variances, mix and yield variances."
"P2 – Advanced Management Accounting",management,p2-advanced-management-accounting,7,"Decision Making Under Uncertainty",50,"Decision trees, expected values, and sensitivity analysis."
"P2 – Advanced Management Accounting",management,p2-advanced-management-accounting,8,"Linear Programming",55,"Formulating and solving linear programming problems."
"P2 – Advanced Management Accounting",management,p2-advanced-management-accounting,9,"Advanced Investment Appraisal",55,"Adjusted present value, capital rationing, real options."
"P2 – Advanced Management Accounting",management,p2-advanced-management-accounting,10,"Performance Management Frameworks",50,"Balanced scorecard, performance prism, building block model."
"P2 – Advanced Management Accounting",management,p2-advanced-management-accounting,11,"Divisional Performance and EVA",55,"EVA, residual income, and divisional performance evaluation."
"P2 – Advanced Management Accounting",management,p2-advanced-management-accounting,12,"International Transfer Pricing",50,"International transfer pricing, tax implications, regulations."
"P2 – Advanced Management Accounting",management,p2-advanced-management-accounting,13,"Strategic Performance Management",50,"Integrated strategic and operational performance management."
"P3 – Risk Management",strategic,p3-risk-management,1,"Enterprise Risk Management",50,"ERM frameworks and holistic risk management approaches."
"P3 – Risk Management",strategic,p3-risk-management,2,"Risk Identification and Assessment",55,"Risk identification techniques and assessment methodologies."
"P3 – Risk Management",strategic,p3-risk-management,3,"Strategic Risk",50,"Strategic risks affecting organizational objectives."
"P3 – Risk Management",strategic,p3-risk-management,4,"Operational Risk Management",50,"Managing operational risks including process, people, and systems."
"P3 – Risk Management",strategic,p3-risk-management,5,"Financial Risk – Market and Credit",55,"Market risk, credit risk, and counterparty risk management."
"P3 – Risk Management",strategic,p3-risk-management,6,"Financial Risk – Liquidity and Currency",55,"Liquidity risk and foreign currency risk management."
"P3 – Risk Management",strategic,p3-risk-management,7,"Derivatives and Hedging",55,"Forwards, futures, options, and swaps for risk mitigation."
"P3 – Risk Management",strategic,p3-risk-management,8,"Internal Controls and Audit",50,"Internal control frameworks, internal audit, and assurance."
"P3 – Risk Management",strategic,p3-risk-management,9,"Regulatory and Compliance Risk",45,"Regulatory compliance, legal risk, and governance requirements."
"P3 – Risk Management",strategic,p3-risk-management,10,"Cyber and Technology Risk",50,"Cybersecurity risks, data protection, and technology governance."
"P3 – Risk Management",strategic,p3-risk-management,11,"Business Continuity and Crisis Management",50,"BCP, disaster recovery, and crisis management planning."
"P3 – Risk Management",strategic,p3-risk-management,12,"Risk Governance and Culture",45,"Risk-aware culture and governance structures."
"P3 – Risk Management",strategic,p3-risk-management,13,"Risk Monitoring and Reporting",50,"Risk monitoring systems and reporting to stakeholders."
"Management Case Study (MCS)",management,mcs-management-case-study,1,"Management Case Study Approach",55,"Case study approach including issue identification and analysis."
"Management Case Study (MCS)",management,mcs-management-case-study,2,"Integrating F1 Concepts",55,"F1 financial reporting concepts in case study scenarios."
"Management Case Study (MCS)",management,mcs-management-case-study,3,"Integrating F2 Concepts",55,"F2 advanced financial reporting in case study scenarios."
"Management Case Study (MCS)",management,mcs-management-case-study,4,"Integrating P1 Concepts",55,"P1 management accounting in case study scenarios."
"Management Case Study (MCS)",management,mcs-management-case-study,5,"Financial Analysis in Cases",50,"Comprehensive financial analysis in case study contexts."
"Management Case Study (MCS)",management,mcs-management-case-study,6,"Management Level Exam Techniques",45,"Exam techniques for management level case studies."
"Operational Case Study (OCS)",operational,ocs-operational-case-study,1,"Operational Case Study Approach",55,"Case study approach including scenario analysis and response planning."
"Operational Case Study (OCS)",operational,ocs-operational-case-study,2,"Integrating BA2 Concepts",50,"BA2 management accounting in case study scenarios."
"Operational Case Study (OCS)",operational,ocs-operational-case-study,3,"Integrating BA3 Concepts",50,"BA3 financial accounting in case study scenarios."
"Operational Case Study (OCS)",operational,ocs-operational-case-study,4,"Integrating BA4 Concepts",50,"BA4 ethics, governance, law in case study scenarios."
"Operational Case Study (OCS)",operational,ocs-operational-case-study,5,"Practical Business Applications",45,"Accounting and business knowledge in practical scenarios."
"Operational Case Study (OCS)",operational,ocs-operational-case-study,6,"Operational Level Exam Techniques",45,"Exam techniques for operational level case studies."
"Strategic Case Study (SCS)",strategic,scs-strategic-case-study,1,"Strategic Case Study Approach",60,"Strategic case study methodology and analysis."
"Strategic Case Study (SCS)",strategic,scs-strategic-case-study,2,"Integrating E3 Concepts",55,"E3 strategic management in case study scenarios."
"Strategic Case Study (SCS)",strategic,scs-strategic-case-study,3,"Integrating F3 Concepts",55,"F3 financial strategy in case study scenarios."
"Strategic Case Study (SCS)",strategic,scs-strategic-case-study,4,"Integrating P3 Concepts",55,"P3 risk management in case study scenarios."
"Strategic Case Study (SCS)",strategic,scs-strategic-case-study,5,"Strategic Analysis and Recommendations",50,"Strategic analysis and recommendation formulation."
"Strategic Case Study (SCS)",strategic,scs-strategic-case-study,6,"Strategic Level Exam Techniques",45,"Exam techniques for strategic level case studies."
